accepted,false_discovery_rate,method,precision,recall,seed,spurious_accept_rate
15.0,0.8,StatisticalFilter,0.2,1.0,20,1.0
9.0,0.6666666666666667,HeldoutVerifier,0.3333333333333333,1.0,20,0.0
9.0,0.6666666666666667,FullVerifier,0.3333333333333333,1.0,20,0.0
23.0,0.8695652173913043,LLMOnly,0.13043478260869565,1.0,21,1.0
15.0,0.8,DescriptiveStats,0.2,1.0,21,1.0
15.0,0.8,StatisticalFilter,0.2,1.0,21,1.0
9.0,0.6666666666666667,HeldoutVerifier,0.3333333333333333,1.0,21,0.0
9.0,0.6666666666666667,FullVerifier,0.3333333333333333,1.0,21,0.0
23.0,0.8695652173913043,LLMOnly,0.13043478260869565,1.0,22,1.0
19.0,0.8421052631578947,DescriptiveStats,0.15789473684210525,1.0,22,1.0
19.0,0.8421052631578947,StatisticalFilter,0.15789473684210525,1.0,22,1.0
9.0,0.6666666666666667,HeldoutVerifier,0.3333333333333333,1.0,22,0.0
9.0,0.6666666666666667,FullVerifier,0.3333333333333333,1.0,22,0.0
23.0,0.8695652173913043,LLMOnly,0.13043478260869565,1.0,23,1.0
15.0,0.8,DescriptiveStats,0.2,1.0,23,1.0
15.0,0.8,StatisticalFilter,0.2,1.0,23,1.0
9.0,0.6666666666666667,HeldoutVerifier,0.3333333333333333,1.0,23,0.0
9.0,0.6666666666666667,FullVerifier,0.3333333333333333,1.0,23,0.0
